"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",1331,"Upper West","2003",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2003",13.45,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2003",37.57,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2002",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2002",2.16,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2002",1.62,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2002",0.00,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2002",0.00,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2002",4.66,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2002",8.64,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2002",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2002",0.16,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2002",0.45,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2001",0.09,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2001",2.85,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2001",0.16,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2001",0.49,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2001",5.13,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2001",2.32,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2001",0.39,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2001",0.03,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2001",2.14,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2001",1.64,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2000",19.21,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2000",5.48,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2000",16.47,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2000",33.14,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2000",54.89,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2000",0.34,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2000",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2000",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2000",10.67,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2000",21.46,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1999",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1999",0.00,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1999",0.06,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1999",0.00,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1999",12.25,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1999",0.00,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1999",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1999",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1999",0.52,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1999",1.08,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1998",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1998",0.00,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1998",2.96,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1998",0.05,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1998",4.34,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1998",0.00,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1998",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1998",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1998",1.00,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1998",0.00,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1997",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1997",0.03,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1997",0.03,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1997",0.28,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1997",0.42,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1997",0.00,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1997",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1997",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1997",0.57,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1997",0.00,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1996",0.01,"VHI % below 35 "
